"Environment and Climate Change Canada"
"Monthly Values for September - 2018"

"Legend"
"Stn_Name","Station Name"
"Lat","Latitude (North + , degrees)"
"Long","Longitude (West - , degrees)"
"Prov","Province"
"Tm","Mean Temperature (°C)"
"DwTm","Days without Valid Mean Temperature"
"D","Mean Temperature difference from Normal (1981-2010) (°C)"
"Tx","Highest Monthly Maximum Temperature (°C)"
"DwTx","Days without Valid Maximum Temperature"
"Tn","Lowest Monthly Minimum Temperature (°C)"
"DwTn","Days without Valid Minimum Temperature"
"S","Snowfall (cm)"
"DwS","Days without Valid Snowfall"
"S%N","Percent of Normal (1981-2010) Snowfall"
"P","Total Precipitation (mm)"
"DwP","Days without Valid Precipitation"
"P%N","Percent of Normal (1981-2010) Precipitation"
"S_G","Snow on the ground at the end of the month (cm)"
"Pd","Number of days with Precipitation 1.0 mm or more"
"BS","Bright Sunshine (hours)"
"DwBS","Days without Valid Bright Sunshine"
"BS%","Percent of Normal (1981-2010) Bright Sunshine"
"HDD","Degree Days below 18 °C"
"CDD","Degree Days above 18 °C"
"Clim_ID","Climate Identifier"
"NA","Not Available"

"Stn_Name","Lat","Long","Prov","Tm","DwTm","D","Tx","DwTx","Tn","DwTn","S","DwS","S%N","P","DwP","P%N","S_G","Pd","BS","DwBS","BS%","HDD","CDD","Clim_ID"
"WHISTLER ROUNDHOUSE","50.068","-122.947","BC","5.3","12",NA,"17.5","12","0.5","12","0.0","12",NA,"64.8","12",NA,"","11","","",NA,"228.3","0.0","1108906"
"WHITE ROCK CAMPBELL SCIENTIFIC","49.018","-122.784","BC","14.9","1",NA,"25.8","1","6.5","1","",,NA,"118.6","1",NA,"","13","",,NA,"89.3","0.1","1108910"
"HOPE A","49.368","-121.498","BC","15.7","8",NA,"29.1","8","7.7","8","",,NA,"117.8","8",NA,"","11","",,NA,"59.1","7.8","1113542"
"HOPE AIRPORT","49.370","-121.493","BC","15.3","0",NA,"29.0","0","7.5","0","",,NA,"140.9","0",NA,"","13","",,NA,"89.7","7.4","1113543"
"HOPE SLIDE","49.267","-121.233","BC","11.1","0","-0.7","26.0","0","3.0","0","0.0","0",NA,"81.8","0","133.0","0.0","14","","",NA,"207.3","0.0","1113581"
"LILLOOET","50.684","-121.934","BC","14.7","0",NA,"28.7","0","4.2","0","",,NA,"",,NA,"","","",,NA,"102.4","4.6","1114619"
"LYTTON A","50.224","-121.582","BC","15.9","6",NA,"32.2","6","5.0","6","",,NA,"24.3","6",NA,"","6","",,NA,"61.3","11.9","1114738"
"LYTTON RCS","50.224","-121.582","BC","15.6","3",NA,"33.2","3","4.9","3","",,NA,"30.0","3",NA,"","6","",,NA,"77.4","13.7","1114746"
"JELLICOE","49.673","-120.333","BC","10.4","3",NA,"29.5","3","-1.5","3","0.0","3",NA,"55.5","3",NA,"0.0","10","","",NA,"204.8","0.0","1123721"
"KELOWNA","49.957","-119.378","BC","13.4","8",NA,"27.0","8","1.9","8","",,NA,"26.9","8",NA,"","7","",,NA,"101.1","0.0","1123939"
"KELOWNA UBCO","49.941","-119.400","BC","14.0","0",NA,"27.4","0","4.6","0","",,NA,"34.5","0",NA,"0.0","8","",,NA,"121.9","2.5","1123996"
"MERRITT","50.113","-120.778","BC","11.8","0",NA,"30.2","0","-0.6","0","",,NA,"0.0","1",NA,"","0","",,NA,"185.1","0.0","1125073"
"OKANAGAN CENTRE","50.056","-119.445","BC","14.8","0","-0.6","27.5","0","6.5","0","0.0","0",NA,"56.7","0","180.0","0.0","10","","",NA,"103.6","6.6","1125700"
"OLIVER STP","49.179","-119.545","BC","16.1","13","-0.4","30.0","13","4.0","13","0.0","13",NA,"5.1","13",NA,"","3","","",NA,"37.2","4.1","1125766"
"OSOYOOS CS","49.028","-119.441","BC","15.9","0","-1.4","30.5","0","4.4","0","",,NA,"5.7","0",NA,"0.0","2","",,NA,"73.0","10.3","1125852"
"PEACHLAND","49.783","-119.717","BC","14.9","0","-0.9","26.0","0","7.5","0","0.0","0",NA,"58.0","0","247.0","0.0","10","","",NA,"98.7","5.4","1126070"
"PENTICTON A","49.463","-119.602","BC","14.1","0",NA,"28.5","0","2.2","0","0.0","0",NA,"26.8","0",NA,"","8","",,NA,"118.7","0.5","1126146"
"PRINCETON A","49.468","-120.513","BC","11.6","0","-1.6","29.5","0","-0.5","0","0.0","0","0.0","37.5","0","158.0","0.0","7","","",NA,"193.4","0.0","1126510"
"VERNON AUTO","50.223","-119.194","BC","13.3","0",NA,"27.1","0","3.8","0","",,NA,"57.2","0",NA,"","13","",,NA,"141.3","1.0","1128582"
"VERNON NORTH","50.344","-119.271","BC","15.1","16","-0.2","27.0","16","4.5","15","0.0","16",NA,"21.4","16",NA,"","5","","",NA,"41.3","0.5","1128583"
"VERNON SILVER STAR LODGE","50.359","-119.056","BC","6.7","14",NA,"17.0","14","0.5","14","0.0","14",NA,"71.3","14",NA,"","11","","",NA,"181.2","0.0","1128584"
"PRINCETON CS","49.465","-120.510","BC","11.7","0",NA,"29.9","0","0.2","0","",,NA,"32.2","0",NA,"","7","",,NA,"189.0","0.0","112FN0M"
"SUMMERLAND CS","49.563","-119.649","BC","14.1","0","-1.9","26.2","0","4.7","0","",,NA,"40.2","0",NA,"","7","",,NA,"117.8","0.9","112G8L1"
"MIDWAY","49.004","-118.772","BC","13.6","1","-0.8","32.5","1","-1.0","1","0.0","1",NA,"18.8","1",NA,"","8","","",NA,"129.0","0.3","1135126"
"BILLINGS","49.017","-118.228","BC","15.0","6","-0.8","31.5","6","3.0","6","0.0","6",NA,"27.4","6",NA,"0.0","9","","",NA,"80.5","7.6","1140876"
"CASTLEGAR A","49.296","-117.633","BC","14.2","0","-0.5","31.5","0","3.0","0","0.0","0",NA,"60.0","0","141.0","0.0","9","","",NA,"118.9","3.5","1141455"
"CASTLEGAR BCHPA DAM","49.343","-117.774","BC","14.4","6","-0.3","29.0","3","6.0","3","0.0","3",NA,"54.9","3",NA,"0.0","9","","",NA,"89.2","3.3","1141457"
"DUNCAN LAKE DAM","50.239","-116.972","BC","11.9","0","-0.3","26.5","0","1.5","0","0.0","0",NA,"84.4","0","159.0","0.0","15","","",NA,"184.3","0.0","1142574"
"KASLO","49.913","-116.921","BC","15.7","17","2.3","28.5","17","6.0","17","0.0","17",NA,"32.4","17",NA,"","4","","",NA,"30.4","1.0","1143900"
"NAKUSP CS","50.269","-117.817","BC","12.2","0",NA,"24.4","0","3.7","0","",,NA,"95.7","0",NA,"","11","",,NA,"173.2","0.4","1145297"
"NELSON NE","49.586","-117.206","BC","14.0","3",NA,"28.0","3","4.0","3","0.0","3",NA,"64.4","3",NA,"0.0","10","","",NA,"110.0","2.3","1145442"
"NEW DENVER","49.996","-117.370","BC","13.1","0","-0.8","26.5","0","3.0","0","0.0","0",NA,"82.6","0","150.0","0.0","14","","",NA,"147.4","0.5","1145460"
"NELSON CS","49.491","-117.305","BC","14.3","0",NA,"30.0","0","3.3","0","",,NA,"67.1","0",NA,"","10","",,NA,"115.1","4.1","1145M29"
"WARFIELD RCS","49.112","-117.739","BC","14.4","0",NA,"31.3","0","3.7","0","",,NA,"41.7","0",NA,"","9","",,NA,"113.8","6.0","1148705"
"CRESTON CAMPBELL SCIENTIFIC","49.082","-116.501","BC","14.4","0",NA,"30.8","0","3.6","0","",,NA,"30.2","0",NA,"","8","",,NA,"118.1","9.4","114B1F0"
"NELSON RIXEN CREEK","49.512","-117.399","BC","13.3","2",NA,"31.0","2","2.5","2","0.0","2",NA,"57.4","2",NA,"0.0","13","","",NA,"135.2","3.8","114EMDM"
"CRANBROOK A","49.612","-115.782","BC","11.4","2",NA,"30.3","2","-0.8","0","1.0","0",NA,"39.0","1",NA,"","8","",,NA,"184.9","1.3","1152105"
"CRANBROOK AIRPORT AUTO","49.618","-115.789","BC","11.2","0",NA,"30.3","0","-0.9","0","",,NA,"31.1","0",NA,"","6","",,NA,"205.5","1.8","1152106"
"FERNIE","49.489","-115.073","BC","11.0","0","-0.3","29.5","0","-0.5","0","0.0","0","0.0","81.9","0","108.0","0.0","14","","",NA,"209.6","0.5","1152850"
"FT STEELE DANDY CRK","49.524","-115.461","BC","9.0","19",NA,"30.0","13","-1.0","13","0.0","12",NA,"41.6","12",NA,"0.0","7","","",NA,"98.5","0.0","1153034"
"KIMBERLEY PCC","49.632","-115.962","BC","11.1","17","-1.5","29.0","17","0.0","17","0.0","17",NA,"14.0","17",NA,"","5","","",NA,"89.5","0.0","1154203"
"KOOTENAY NP WEST GATE","50.631","-116.061","BC","10.7","1","-1.3","28.0","1","-2.5","1","0.0","1",NA,"34.8","1",NA,"0.0","11","","",NA,"211.7","0.0","1154410"
"SPARWOOD","49.745","-114.883","BC","9.7","0","-0.8","27.5","0","-2.5","0","0.8","0","19.0","40.3","0","85.0","0.0","10","","",NA,"249.1","0.0","1157630"
"SPARWOOD CS","49.745","-114.884","BC","9.5","0",NA,"27.7","0","-2.4","0","",,NA,"35.0","8",NA,"","8","",,NA,"254.9","0.0","1157631"
"ASHCROFT","50.708","-121.281","BC","14.7","0",NA,"28.8","0","5.0","0","",,NA,"38.4","0",NA,"","9","",,NA,"104.7","5.3","1160515"
"BLUE RIVER A","52.129","-119.290","BC","9.2","0","-1.8","23.5","0","-3.0","0","2.6","0","######","136.2","0","191.0","0.0","15","","",NA,"263.9","0.0","1160899"
"BLUE RIVER CS","52.129","-119.290","BC","9.0","3",NA,"23.4","3","-2.0","3","",,NA,"72.9","9",NA,"","9","",,NA,"242.4","0.0","1160H99"
"CLEARWATER AUTO","51.653","-120.082","BC","11.5","2",NA,"24.6","2","-0.7","2","",,NA,"",,NA,"","","",,NA,"183.2","0.0","1161650"
"CLINTON A","51.266","-121.685","BC","6.9","4",NA,"23.0","4","-4.0","4","",,NA,"55.2","4",NA,"","11","",,NA,"287.9","0.0","1161662"
"CLINTON RCS","51.144","-121.505","BC","8.3","0",NA,"22.9","0","-0.8","0","",,NA,"83.7","0",NA,"","10","",,NA,"290.5","0.0","1161663"
"CRISS CREEK","51.030","-120.728","BC","7.3","2","-2.1","24.0","2","-4.0","2","12.4","2",NA,"68.8","2",NA,"0.0","12","","",NA,"299.8","0.0","1162177"
"KAMLOOPS A","50.703","-120.449","BC","13.8","1",NA,"27.2","1","3.2","0","0.0","0",NA,"50.5","0",NA,"","8","",,NA,"121.1","0.0","1163781"
"KAMLOOPS AUT","50.702","-120.442","BC","13.7","0",NA,"26.9","0","2.3","0","",,NA,"44.4","0",NA,"","8","",,NA,"128.3","0.0","1163842"
"100 MILE HOUSE 6NE","51.681","-121.217","BC","11.6","21",NA,"22.0","21","1.0","21","0.0","21",NA,"21.6","21",NA,"","4","","",NA,"57.4","0.0","1165793"
"RED LAKE","50.935","-120.800","BC","8.9","0","-1.8","23.0","0","-0.5","0","15.4","0","######","83.6","0","215.0","0.0","13","","",NA,"273.7","0.0","1166658"
"SILVER CREEK","50.545","-119.350","BC","12.3","0","-1.2","25.5","0","1.5","0","0.0","0",NA,"87.6","0","257.0","0.0","11","","",NA,"172.0","0.0","1167337"
"VAVENBY","51.576","-119.778","BC","11.1","2","-0.9","23.0","1","-1.0","1","0.0","1",NA,"55.4","1",NA,"0.0","11","","",NA,"192.8","0.0","1168520"
"KAMLOOPS PRATT ROAD","50.630","-120.172","BC","10.7","13",NA,"22.0","13","2.5","13","0.0","13",NA,"64.2","13",NA,"0.0","7","","",NA,"124.3","0.0","116C8P0"
"SALMON ARM CS","50.703","-119.291","BC","13.0","4","-1.4","25.4","4","3.1","4","",,NA,"77.5","4",NA,"0.0","11","",,NA,"130.5","0.0","116FRMN"
"GOLDEN A","51.299","-116.982","BC","9.6","0","-1.9","23.0","0","-2.0","0","0.0","0",NA,"82.6","0","217.0","0.0","16","","",NA,"251.4","0.0","1173210"
"GOLDEN AIRPORT","51.300","-116.984","BC","9.4","0",NA,"23.3","0","-1.7","0","",,NA,"66.8","0",NA,"","13","",,NA,"259.5","0.0","1173220"
"MICA DAM","52.053","-118.585","BC","9.2","0","-2.2","20.0","0","0.0","0","10.0","0","######","108.0","0","160.0","0.0","17","","",NA,"263.6","0.0","1175122"
"REVELSTOKE A","50.967","-118.183","BC","12.0","4",NA,"23.3","4","2.4","4","",,NA,"175.2","4",NA,"","16","",,NA,"156.4","0.0","1176745"
"REVELSTOKE AIRPORT AUTO","50.958","-118.176","BC","12.2","0",NA,"24.2","0","2.3","0","",,NA,"123.7","0",NA,"","15","",,NA,"173.7","0.0","1176755"
"YOHO PARK","51.443","-116.345","BC","6.3","12",NA,"23.1","12","-3.1","12","",,NA,"51.3","14",NA,"0.0","7","",,NA,"211.3","0.0","11790J1"
"YOHO NP OHARA LAKE","51.356","-116.337","BC","2.5","0",NA,"18.0","0","-10.0","0","16.2","0",NA,"145.0","0",NA,"0.0","20","","",NA,"464.7","0.0","117R00H"
"CHETWYND A","55.687","-121.627","BC","5.9","0","-4.0","19.0","0","-4.0","0","6.6","0","192.0","42.4","0","103.0","0.0","7","","",NA,"363.8","0.0","1181508"
"DAWSON CREEK A","55.742","-120.183","BC","5.5","7",NA,"18.3","7","-9.8","7","",,NA,"39.4","7",NA,"","4","",,NA,"287.4","0.0","1182289"
"FORT ST. JOHN A","56.238","-120.740","BC","5.0","0",NA,"18.0","0","-6.6","0","8.2","0",NA,"60.7","0",NA,"","8","",,NA,"389.4","0.0","1183001"
"MACKENZIE","55.299","-123.133","BC","5.8","7",NA,"18.5","7","-7.5","7","",,NA,"23.1","7",NA,"","4","",,NA,"280.5","0.0","1184791"
"MACKENZIE AIRPORT AUTO","55.305","-123.138","BC","6.6","0",NA,"19.1","0","-6.9","0","",,NA,"30.2","0",NA,"0.0","6","",,NA,"342.1","0.0","1184793"
"DEASE LAKE A","58.422","-130.031","BC","4.9","6",NA,"18.1","6","-8.2","6","",,NA,"33.6","8",NA,"","5","",,NA,"315.3","0.0","1192341"
"FORT NELSON A","58.836","-122.597","BC","4.9","1",NA,"20.1","0","-9.1","1","0.0","0",NA,"17.5","0",NA,"","4","",,NA,"379.2","0.0","1192946"
"FORT NELSON","58.841","-122.574","BC","5.5","2",NA,"20.1","2","-8.2","2","",,NA,"9.1","2",NA,"","1","",,NA,"348.9","0.0","1192948"
"DEASE LAKE (AUT)","58.426","-130.025","BC","5.1","2",NA,"18.4","2","-8.2","2","",,NA,"50.4","2",NA,"","7","",,NA,"361.3","0.0","119BLM0"
"ATLIN","59.567","-133.700","BC","7.3","0","-0.8","17.5","0","-3.5","0","0.0","0","0.0","31.2","0","74.0","0.0","8","","",NA,"320.7","0.0","1200560"
"PLEASANT CAMP","59.450","-136.367","BC","9.6","0","0.9","22.0","0","-4.0","0","0.0","0","0.0","12.0","0","8.0","0.0","5","","",NA,"252.3","0.0","1206197"
"BURWASH A","61.371","-139.040","YT","4.7","5",NA,"17.5","5","-10.7","5","",,NA,"18.3","5",NA,"","2","",,NA,"333.1","0.0","2100181"
"BURWASH AIRPORT AUTO BC","61.367","-139.017","YT","4.7","2",NA,"18.1","2","-11.0","2","",,NA,"20.6","2",NA,"","2","",,NA,"373.5","0.0","2100184"
"CARMACKS CS","62.115","-136.192","YT","5.7","0",NA,"17.4","0","-8.7","0","",,NA,"13.1","0",NA,"","2","",,NA,"370.0","0.0","2100301"
"FARO (AUT)","62.208","-133.376","YT","4.5","1",NA,"16.1","1","-8.8","1","",,NA,"",,NA,"","","",,NA,"390.3","0.0","2100518"
"HAINES JUNCTION","60.773","-137.580","YT","6.2","0",NA,"20.8","0","-11.0","0","",,NA,"13.1","0",NA,"","3","",,NA,"354.2","0.0","2100630"
"HERSCHEL ISLAND","69.568","-138.913","YT","0.3","1",NA,"8.1","1","-8.1","1","",,NA,"42.5","1",NA,"","10","",,NA,"514.1","0.0","2100636"
"IVVAVIK NAT. PARK","69.164","-140.150","YT","1.1","1",NA,"14.0","1","-13.0","1","",,NA,"68.8","1",NA,"10.0","22","",,NA,"489.6","0.0","2100660"
"MACMILLAN PASS","63.244","-130.037","YT","-0.7","12",NA,"8.5","12","-12.0","12","",,NA,"6.6","12",NA,"","2","",,NA,"336.0","0.0","2100693"
"MARGARET LAKE","68.801","-140.848","YT","-1.3","1",NA,"10.3","1","-18.2","1","",,NA,"",,NA,"","","",,NA,"560.2","0.0","2100697"
"MAYO A","63.616","-135.868","YT","4.9","0",NA,"16.4","0","-8.2","0","0.0","0",NA,"10.6","0",NA,"","3","",,NA,"394.5","0.0","2100701"
"OLD CROW RCS","67.571","-139.839","YT","1.9","4",NA,"12.6","4","-9.9","4","",,NA,"29.4","4",NA,"","5","",,NA,"419.2","0.0","2100805"
"ROCK RIVER","66.981","-136.218","YT","0.1","0",NA,"10.6","0","-12.8","0","",,NA,"55.6","0",NA,"","12","",,NA,"537.1","0.0","2100935"
"DAWSON","64.061","-139.127","YT","5.1","0",NA,"15.7","0","-8.9","0","",,NA,"7.3","0",NA,"0.0","3","",,NA,"386.0","0.0","2100LRP"
"TESLIN (AUT)","60.167","-132.733","YT","5.3","1",NA,"16.7","1","-7.4","1","",,NA,"12.9","1",NA,"","3","",,NA,"369.7","0.0","2101102"
"WATSON LAKE (AUT)","60.116","-128.832","YT","4.2","1",NA,"15.4","1","-9.0","1","",,NA,"14.5","1",NA,"","2","",,NA,"400.1","0.0","2101204"
"WHITEHORSE A","60.709","-135.067","YT","6.4","0",NA,"23.4","0","-6.3","0","",,NA,"",,NA,"","","",,NA,"349.2","0.0","2101303"
"WHITEHORSE AUTO","60.733","-135.098","YT","5.9","1",NA,"17.1","1","-6.6","1","",,NA,"24.8","1",NA,"","5","",,NA,"351.8","0.0","2101310"
"CAPE PARRY A","70.167","-124.717","NT","-2.6","11",NA,"5.0","11","-8.4","11","",,NA,"",,NA,"","","",,NA,"391.3","0.0","2200675"
"COLVILLE LAKE","67.021","-126.123","NT","-0.3","0",NA,"13.5","0","-7.4","0","",,NA,"26.9","0",NA,"","6","",,NA,"547.9","0.0","2200824"
"DELINE CS","65.209","-123.433","NT","1.2","3",NA,"16.8","3","-12.3","3","",,NA,"4.0","15",NA,"","1","",,NA,"454.8","0.0","2201022"
"DEADMEN VALLEY","61.257","-124.468","NT","3.0","6",NA,"18.5","6","-11.3","6","",,NA,"0.1","29",NA,"","0","",,NA,"360.2","0.0","22010H0"
"FORT GOOD HOPE CS","66.242","-128.644","NT","2.5","0",NA,"16.5","0","-11.9","0","",,NA,"21.7","0",NA,"","6","",,NA,"466.0","0.0","2201450"
"FORT LIARD","60.233","-123.467","NT","5.0","0",NA,"20.1","0","-10.1","0","",,NA,"",,NA,"","","",,NA,"390.2","0.0","2201579"
"FORT PROVIDENCE","61.317","-117.602","NT","3.2","0",NA,"18.1","0","-8.8","0","",,NA,"",,NA,"","","",,NA,"444.1","0.0","2201799"
"FORT RELIANCE (AUT)","62.711","-109.168","NT","4.0","4",NA,"17.4","4","-4.9","4","",,NA,"18.2","3",NA,"1.0","4","",,NA,"363.4","0.0","2201903"
"FORT SIMPSON CLIMATE","61.760","-121.237","NT","3.1","0",NA,"17.0","0","-10.8","0","",,NA,"5.9","0",NA,"","2","",,NA,"446.3","0.0","2202102"
"FORT SIMPSON A","61.760","-121.237","NT","3.3","3",NA,"16.7","1","-10.8","3","0.4","0",NA,"9.4","0",NA,"","3","",,NA,"397.3","0.0","2202103"
"FORT SMITH A","60.020","-111.962","NT","3.0","3",NA,"16.7","0","-7.5","3","0.0","0",NA,"9.2","0",NA,"0.0","4","",,NA,"406.3","0.0","2202201"
"FORT SMITH CLIMATE","60.026","-111.929","NT","3.6","0",NA,"17.9","0","-7.9","0","",,NA,"14.2","0",NA,"","6","",,NA,"432.7","0.0","2202202"
"HANBURY RIVER","63.600","-105.133","NT","-0.8","7",NA,"12.8","7","-8.5","7","",,NA,"10.2","7",NA,"2.0","3","",,NA,"431.8","0.0","2202351"
"HAY RIVER A","60.840","-115.783","NT","3.8","0",NA,"18.1","0","-7.2","0","0.4","0",NA,"15.6","0",NA,"","4","",,NA,"424.7","0.0","2202401"
"HAY RIVER CLIMATE","60.839","-115.777","NT","4.1","0",NA,"17.7","0","-6.9","0","",,NA,"9.2","0",NA,"","3","",,NA,"417.3","0.0","2202402"
"INNER WHALEBACKS","61.920","-113.726","NT","4.7","3",NA,"14.0","3","-3.1","3","",,NA,"4.0","3",NA,"","1","",,NA,"360.1","0.0","2202560"
"INUVIK CLIMATE","68.317","-133.517","NT","0.8","0",NA,"12.0","0","-10.1","0","",,NA,"26.1","0",NA,"4.0","6","",,NA,"517.1","0.0","2202578"
"LAC LA MARTRE","63.134","-117.245","NT","2.6","4",NA,"17.5","4","-7.9","4","",,NA,"1.0","28",NA,"","1","",,NA,"401.2","0.0","2202678"
"NORMAN WELLS A","65.281","-126.799","NT","1.2","0",NA,"15.4","0","-11.2","0","2.6","0",NA,"29.0","0",NA,"0.0","5","",,NA,"505.0","0.0","2202801"
"NORMAN WELLS CLIMATE","65.288","-126.753","NT","0.9","1",NA,"16.8","1","-11.8","1","",,NA,"27.1","1",NA,"","5","",,NA,"496.2","0.0","2202810"
"PAULATUK","69.358","-124.083","NT","-1.3","1",NA,"10.9","1","-7.9","1","",,NA,"25.5","1",NA,"","6","",,NA,"559.6","0.0","2203058"
"PELLY ISLAND","69.633","-135.444","NT","-0.1","0",NA,"8.1","0","-5.6","0","",,NA,"",,NA,"","","",,NA,"544.2","0.0","2203095"
"RABBIT KETTLE","61.963","-127.209","NT","3.8","4",NA,"17.0","4","-10.8","4","",,NA,"",,NA,"","","",,NA,"368.4","0.0","2203342"
"RAE LAKES","64.112","-117.328","NT","0.8","22",NA,"8.4","22","-5.9","22","",,NA,"6.7","22",NA,"","2","",,NA,"137.6","0.0","2203359"
"TUKTOYAKTUK","69.433","-133.017","NT","-0.2","0",NA,"10.0","0","-6.5","0","",,NA,"",,NA,"","","",,NA,"545.4","0.0","2203914"
"TUKTUT NOGAIT","69.199","-122.359","NT","-5.9","3",NA,"4.7","3","-16.1","3","",,NA,"",,NA,"51.0","","",,NA,"646.3","0.0","2203918"
"YELLOWKNIFE A","62.463","-114.440","NT","2.5","0",NA,"14.4","0","-7.8","0","0.0","0",NA,"8.8","0",NA,"","2","",,NA,"464.0","0.0","2204101"
"YELLOWKNIFE-HENDERSON","62.450","-114.383","NT","8.0","0",NA,"28.0","0","-9.0","0","4.4","0",NA,"49.1","0",NA,"0.0","7","","",NA,"300.5","0.0","2204110"
"YOHIN","61.242","-123.742","NT","3.9","7",NA,"20.6","7","-11.6","7","",,NA,"",,NA,"","","",,NA,"323.4","0.0","2204300"
"LIVERPOOL BAY","69.604","-130.911","NT","-1.6","1",NA,"9.1","1","-9.4","1","",,NA,"",,NA,"","","",,NA,"569.8","0.0","220B68C"
"LITTLE CHICAGO","67.179","-130.228","NT","1.5","2",NA,"13.9","2","-10.5","2","",,NA,"",,NA,"","","",,NA,"461.9","0.0","220B6Q3"
"LINDBURG LANDING","61.125","-122.851","NT","4.2","0",NA,"19.9","0","-9.6","0","",,NA,"18.8","0",NA,"","4","",,NA,"414.3","0.0","220N003"
"TRAIL VALLEY","68.746","-133.502","NT","0.0","0",NA,"12.0","0","-12.1","0","",,NA,"22.5","0",NA,"","6","",,NA,"540.8","0.0","220N005"
"ARVIAT A","61.094","-94.072","NU","3.1","6",NA,"13.2","6","-4.9","6","",,NA,"0.0","6",NA,"","0","",,NA,"356.9","0.0","2300427"
"BAKER LAKE CLIMATE","64.317","-96.000","NU","0.7","0",NA,"13.6","0","-9.1","0","",,NA,"27.8","0",NA,"","9","",,NA,"518.3","0.0","2300501"
"BAKER LAKE A","64.299","-96.078","NU","0.8","0",NA,"14.2","0","-8.2","0","12.6","1",NA,"62.7","0",NA,"5.0","9","",,NA,"515.1","0.0","2300503"
"BATHURST INLET","66.838","-108.015","NU","0.4","5",NA,"12.1","5","-6.7","5","",,NA,"9.7","6",NA,"","4","",,NA,"439.4","0.0","2300551"
"KUGLUKTUK A","67.817","-115.144","NU","-0.5","0",NA,"13.8","0","-8.1","0","18.1","0",NA,"18.0","0",NA,"1.0","8","",,NA,"553.5","0.0","2300903"
"KUGLUKTUK CLIMATE","67.817","-115.135","NU","-0.4","0",NA,"13.8","0","-7.9","0","",,NA,"16.2","0",NA,"","8","",,NA,"551.5","0.0","2300904"
"CORAL HARBOUR A","64.193","-83.359","NU","1.0","6",NA,"14.2","2","-13.7","5","16.8","0",NA,"22.8","2",NA,"10.0","8","",,NA,"408.6","0.0","2301002"
"CORAL HARBOUR RCS","64.183","-83.350","NU","1.1","6",NA,"12.2","6","-13.9","6","",,NA,"26.5","6",NA,"","6","",,NA,"406.6","0.0","2301010"
"ENNADAI LAKE (AUT)","61.132","-100.884","NU","1.5","6",NA,"16.3","6","-7.1","6","",,NA,"12.0","6",NA,"","3","",,NA,"397.0","0.0","2301102"
"ARVIAT CLIMATE","61.100","-94.067","NU","2.4","0",NA,"13.4","0","-5.7","0","",,NA,"19.5","0",NA,"","6","",,NA,"468.0","0.0","2301153"
"GJOA HAVEN A","68.636","-95.850","NU","-2.1","10",NA,"10.2","10","-12.6","10","",,NA,"1.5","10",NA,"","1","",,NA,"402.0","0.0","2302337"
"GJOA HAVEN CLIMATE","68.636","-95.850","NU","-2.2","1",NA,"10.1","1","-13.2","1","",,NA,"23.3","1",NA,"","7","",,NA,"584.8","0.0","2302340"
"HAT ISLAND","68.318","-100.087","NU","-1.0","1",NA,"11.4","1","-7.5","1","",,NA,"",,NA,"","","",,NA,"552.1","0.0","2302370"
"PELLY BAY","68.437","-89.726","NU","-3.5","6",NA,"11.4","6","-11.9","5","",,NA,"",,NA,"","","",,NA,"515.8","0.0","2303093"
"KUGAARUK CLIMATE","68.538","-89.796","NU","-0.7","4",NA,"14.3","4","-15.7","4","",,NA,"21.9","4",NA,"","8","",,NA,"486.1","0.0","2303094"
"RANKIN INLET A","62.811","-92.115","NU","2.0","0",NA,"12.8","0","-6.4","0","6.2","0",NA,"19.0","0",NA,"0.0","4","",,NA,"479.4","0.0","2303405"
"ROBERTSON LAKE (AUT)","65.100","-102.429","NU","-4.2","23",NA,"0.4","23","-10.0","23","",,NA,"2.1","23",NA,"","0","",,NA,"155.7","0.0","2303610"
"SANIKILUAQ","56.537","-79.260","NU","4.6","2",NA,"11.6","2","-1.1","2","",,NA,"65.2","2",NA,"","14","",,NA,"376.6","0.0","2303668"
"SHEPHERD BAY A","68.817","-93.433","NU","-2.0","2",NA,"12.8","2","-13.8","2","",,NA,"",,NA,"","","",,NA,"560.0","0.0","2303685"
"LUPIN CS","65.755","-111.246","NU","-2.4","7",NA,"12.0","7","-10.4","7","",,NA,"16.2","7",NA,"14.0","3","",,NA,"470.2","0.0","230N002"
"ALERT CLIMATE","82.500","-62.333","NU","-8.0","0",NA,"4.7","0","-18.7","0","",,NA,"2.0","0",NA,"","1","",,NA,"781.4","0.0","2400305"
"ALERT UA","82.500","-62.333","NU","",,NA,"",,"",,"8.2","1",NA,"4.6","1",NA,"1.0","2","","",NA,"","","2400306"
"ARCTIC BAY CS","72.993","-85.012","NU","-1.0","1",NA,"7.8","1","-10.0","1","",,NA,"10.5","1",NA,"","1","",,NA,"549.9","0.0","2400404"
"QIKIQTARJUAQ CLIMATE","67.547","-64.033","NU","0.5","2",NA,"6.5","2","-5.8","2","",,NA,"37.8","5",NA,"","8","",,NA,"491.3","0.0","2400573"
"QIKIQTARJUAQ A","67.547","-64.032","NU","0.8","8",NA,"8.6","8","-4.7","8","",,NA,"60.9","9",NA,"","5","",,NA,"379.4","0.0","2400577"
"CAMBRIDGE BAY A","69.108","-105.137","NU","-2.1","1",NA,"7.5","1","-10.8","1","11.4","1",NA,"16.8","1",NA,"12.0","9","",,NA,"584.3","0.0","2400601"
